"bibtex_key","author","title","year","explicit","separate","embedded","juxtaposed","interchangeable","abstraction","tree","node-attribute","overlay","node-link-diagram","multiples","hybrid","matrix","disjoint-hierarchical","disjoint-flat","overlapping-flat","overlapping-hierarchical"
"bezerianos_graphdice_2010","Bezerianos, A.; Chevalier, F.; Dragicevic, P.; Elmqvist, N.; Fekete, J.d.","GraphDice}: {A} {System} for {Exploring} {Multivariate} {Social} {Networks","2010",NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,NA
"bigelow_origraph_2019","Bigelow, Alex; Nobre, Carolina; Meyer, Miriah; Lex, Alexander","Origraph: {Interactive} {Network} {Wrangling","2019",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"bothorel_visualization_2013","Bothorel, Gwenael; Serrurier, Mathieu; Hurter, Christophe","Visualization of {Frequent} {Itemsets} with {Nested} {Circular} {Layout} and {Bundling} {Algorithm","2013",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"bourqui_multilayer_2016","Bourqui, Romain; Ienco, Dino; Sallaberry, Arnaud; Poncelet, Pascal","Multilayer graph edge bundling","2016",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"brandes_asymmetric_2011","Brandes, Ulrik; Nick, Bobo","Asymmetric {Relations} in {Longitudinal} {Social} {Networks","2011",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"brandes_visual_2003","Brandes, Ulrik; Corman, Steven R.","Visual {Unrolling} of {Network} {Evolution} and the {Analysis} of {Dynamic} {Discourse","2003",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"brandes_visualization_2012","Brandes, Ulrik; Indlekofer, Natalie; Mader, Martin","Visualization methods for longitudinal social networks and stochastic actor-oriented modeling","2012",NA,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA
"burch_edge-stacked_2023","Burch, Michael; Munz, Tanja; Weiskopf, Daniel","Edge-stacked {Timelines} for {Visualizing} {Dynamic} {Weighted} {Digraphs","2023",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"burch_flip-book_2014","Burch, Michael; Weiskopf, Daniel","A {Flip}-{Book} of {Edge}-{Splatted} {Small} {Multiples} for {Visualizing} {Dynamic} {Graphs","2014",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"burch_layered_2011","Burch, Michael; Hoferlin, Markus; Weiskopf, Daniel","Layered {TimeRadarTrees","2011",NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,NA
"burch_matrix-based_2013","Burch, Michael; Schmidt, Benjamin; Weiskopf, Daniel","A {Matrix}-{Based} {Visualization} for {Exploring} {Dynamic} {Compound} {Digraphs","2013",1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA
"burch_parallel_2011","Burch, Michael; Vehlow, Corinna; Beck, Fabian; Diehl, Stephan; Weiskopf, Daniel","Parallel {Edge} {Splatting} for {Scalable} {Dynamic} {Graph} {Visualization","2011",NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"burch_radial_2023","Burch, Michael; Beck, Fabian; Weiskopf, Daniel","RADIAL} {EDGE} {SPLATTING} {FOR} {VISUALIZING} {DYNAMIC} {DIRECTED} {GRAPHS","2023",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA
"burch_timeradartrees_2008","Burch, M.; Diehl, S.","TimeRadarTrees}: {Visualizing} {Dynamic} {Compound} {Digraphs","2008",NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA
"burch_timespidertrees_2010","Burch, Michael; Fritz, Michael; Beck, Fabian; Diehl, Stephan","TimeSpiderTrees}: {A} {Novel} {Visual} {Metaphor} for {Dynamic} {Compound} {Graphs","2010",NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA
"byelas_visualization_2006","Byelas, Heorhiy; Bondarev, Egor; Telea, Alexandru","Visualization of {Areas} of {Interest} in {Component}-{Based} {System} {Architectures","2006",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"byelas_visualization_2006-1","Byelas, H.; Telea, A.","Visualization of areas of interest in software architecture diagrams","2006",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"byelas_visualizing_2009","Byelas, Heorhiy; Telea, Alexandru","Visualizing metrics on areas of interest in software architecture diagrams","2009",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"byelas_visualizing_2009-1","Byelas, Heorhiy; Telea, Alexandru","Visualizing {Multivariate} {Attributes} on {Software} {Diagrams","2009",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"chaturvedi_group---box_2014","Chaturvedi, S.; Dunne, C.; Ashktorab, Z.; Zachariah, R.; Shneiderman, B.","Group-in-a-{Box} {Meta}-{Layouts} for {Topological} {Clusters} and {Attribute}-{Based} {Groups}: {Space}-{Efficient} {Visualizations} of {Network} {Communities} and {Their} {Ties","2014",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
"chuang_termite_2012","Chuang, Jason; Manning, Christopher D.; Heer, Jeffrey","Termite: visualization techniques for assessing textual topic models","2012",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA
"collins_bubble_2009","Collins, Christopher; Penn, Gerald; Carpendale, Sheelagh","Bubble {Sets}: {Revealing} {Set} {Relations} with {Isocontours} over {Existing} {Visualizations","2009",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"collins_vislink_2007","Collins, Christopher; Carpendale, Sheelagh","VisLink}: {Revealing} {Relationships} {Amongst} {Visualizations","2007",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"crnovrsanin_visualization_2014","Crnovrsanin, Tarik; Muelder, Chris W.; Faris, Robert; Felmlee, Diane; Ma, Kwan-Liu","Visualization techniques for categorical analysis of social networks with multiple edge sets","2014",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"daniel_polyptychon_2014","Daniel, Donny T.; Wuchner, Egon; Sokolov, Konstantin; Stal, Michael; Liggesmeyer, Peter","Polyptychon: {A} {Hierarchically}-{Constrained} {Classified} {Dependencies} {Visualization","2014",NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1
"de_domenico_muxviz_2015","De Domenico, Manlio; Porter, Mason A.; Arenas, Alex","MuxViz}: a tool for multilayer analysis and visualization of networks","2015",1,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA
"didimo_fast_2012","Didimo, Walter; Montecchiani, Fabrizio","Fast {Layout} {Computation} of {Hierarchically} {Clustered} {Networks}: {Algorithmic} {Advances} and {Experimental} {Analysis","2012",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"didimo_fast_2014","Didimo, Walter; Montecchiani, Fabrizio","Fast layout computation of clustered networks: {Algorithmic} advances and experimental analysis","2014",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"dinkla_examine_2014","Dinkla, Kasper; El-Kebir, Mohammed; Bucur, Cristina-Iulia; Siderius, Marco; Smit, Martine J.; Westenberg, Michel A.; Klau, Gunnar W.","eXamine}: {Exploring} annotated modules in networks","2014",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"dinkla_kelp_2012","Dinkla, Kasper; van Kreveld, Marc J.; Speckmann, Bettina; Westenberg, Michel A.","Kelp {Diagrams}: {Point} {Set} {Membership} {Visualization","2012",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA
"dogrusoz_compound_2005","Dogrusoz, Ugur; Giral, Erhan; Cetintas, Ahmet; Civril, Ali; Demir, Emek","A {Compound} {Graph} {Layout} {Algorithm} for {Biological} {Pathways","2005",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"dork_edgemaps_2011","Dörk, Marian; Carpendale, Sheelagh; Williamson, Carey","EdgeMaps}: visualizing explicit and implicit relations","2011",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"ducruet_multilayer_2017","Ducruet, César","Multilayer dynamics of complex spatial networks: {The} case of global maritime flows (1977–2008)","2017",NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,NA
"dunne_motif_2013","Dunne, Cody; Shneiderman, Ben","Motif simplification: improving network visualization readability with fan, connector, and clique glyphs","2013",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"efrat_mapsets_2014","Efrat, Alon; Hu, Yifan; Kobourov, Stephen G.; Pupyrev, Sergey","MapSets}: {Visualizing} {Embedded} and {Clustered} {Graphs","2014",NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
